;inn;case_number;law_court;why;argument;why_argument;результат;УФНС;Категория спора;Наименование НП;Предмет спора;Общая сумма исковых требований (руб);причины;последствия
0;2703066055;А73-19134/2021;ШЕСТОЙ АРБИТРАЖНЫЙ АПЕЛЛЯЦИОННЫЙ СУД;объект налогообложения;"Таким образом, для квалификации соответствующих отношений в качестве трудовых или гражданско-правовых имеют значения существенные условия указанных договоров. В соответствии со статьей 56 Трудового кодекса РФ (далее ТК РФ) трудовой договор соглашение между работодателем и работником, в соответствии с которым работодатель обязуется предоставить работнику работу по обусловленной трудовой функции, обеспечить условия труда, предусмотренные трудовым законодательством и иными нормативными правовыми актами, содержащими нормы трудового права, коллективным договором, соглашениями, локальными нормативными актами и данным соглашением, своевременно и в полном размере выплачивать работнику заработную плату, а работник обязуется лично выполнять определенную этим соглашением трудовую функцию в интересах, под управлением и контролем работодателя, соблюдать правила внутреннего трудового распорядка, действующие у данного работодателя. При этом, обязательными (существенными) условиями трудового договора являются согласно статье 57 ТК РФ: место работы; условия оплаты труда (в том числе размер тарифной ставки или оклада (должностного оклада) работника, доплаты, надбавки и поощрительные выплаты); режим рабочего времени и времени отдыха (если для данного работника он отличается от общих правил, действующих у данного работодателя); гарантии и компенсации за работу с вредными и (или) опасными условиями труда, если работник принимается на работу в соответствующих условиях, с указанием характеристик условий труда на рабочем месте; условия, определяющие в необходимых случаях характер работы (подвижной, разъездной, в пути, другой характер работы); условия труда на рабочем месте; условие об обязательном социальном страховании работника в соответствии с ТК РФ и иными федеральными законами. ";не признаются объектом обложения страховыми взносами выплаты и иные вознаграждения в рамках гражданско-правовых договоров, предметом которых является переход права собственности или иных вещных прав на имущество;в пользу налогоплательщика;УФНС России по Хабаровскому краю;НП к НО;"ООО ""Новоторг-ДВ""";ВНП;12564590;недоимка;доначисление
1;2703066055;А73-19134/2021;ШЕСТОЙ АРБИТРАЖНЫЙ АПЕЛЛЯЦИОННЫЙ СУД;объект налогообложения;"В соответствии со статьей 56 Трудового кодекса РФ (далее ТК РФ) трудовой договор соглашение между работодателем и работником, в соответствии с которым работодатель обязуется предоставить работнику работу по обусловленной трудовой функции, обеспечить условия труда, предусмотренные трудовым законодательством и иными нормативными правовыми актами, содержащими нормы трудового права, коллективным договором, соглашениями, локальными нормативными актами и данным соглашением, своевременно и в полном размере выплачивать работнику заработную плату, а работник обязуется лично выполнять определенную этим соглашением трудовую функцию в интересах, под управлением и контролем работодателя, соблюдать правила внутреннего трудового распорядка, действующие у данного работодателя. При этом, обязательными (существенными) условиями трудового договора являются согласно статье 57 ТК РФ: место работы; условия оплаты труда (в том числе размер тарифной ставки или оклада (должностного оклада) работника, доплаты, надбавки и поощрительные выплаты); режим рабочего времени и времени отдыха (если для данного работника он отличается от общих правил, действующих у данного работодателя); гарантии и компенсации за работу с вредными и (или) опасными условиями труда, если работник принимается на работу в соответствующих условиях, с указанием характеристик условий труда на рабочем месте; условия, определяющие в необходимых случаях характер работы (подвижной, разъездной, в пути, другой характер работы); условия труда на рабочем месте; условие об обязательном социальном страховании работника в соответствии с ТК РФ и иными федеральными законами. Согласно статьям 15, 21 ТК РФ трудовые отношения это отношения, основанные на соглашении между работником и работодателем о личном выполнении работником за плату трудовой функции (работы по должности в соответствии со штатным расписанием, профессии, специальности с указанием квалификации; конкретного вида поручаемой работнику работы) в интересах, под управлением и контролем работодателя, подчинении работника правилам внутреннего трудового распорядка при обеспечении работодателем условий труда, предусмотренных трудовым законодательством и иными нормативными правовыми актами, содержащими нормы трудового права, коллективным договором, соглашениями, локальными нормативными актами, трудовым договором. ";не признаются объектом обложения страховыми взносами выплаты и иные вознаграждения в рамках гражданско-правовых договоров, предметом которых является переход права собственности или иных вещных прав на имущество;в пользу налогоплательщика;УФНС России по Хабаровскому краю;НП к НО;"ООО ""Новоторг-ДВ""";ВНП;12564590;недоимка;доначисление
2;2703066055;А73-19134/2021;ШЕСТОЙ АРБИТРАЖНЫЙ АПЕЛЛЯЦИОННЫЙ СУД;объект налогообложения;"Таким образом, для квалификации соответствующих отношений в качестве трудовых или гражданско-правовых имеют значения существенные условия указанных договоров. В соответствии со статьей 56 Трудового кодекса РФ (далее ТК РФ) трудовой договор соглашение между работодателем и работником, в соответствии с которым работодатель обязуется предоставить работнику работу по обусловленной трудовой функции, обеспечить условия труда, предусмотренные трудовым законодательством и иными нормативными правовыми актами, содержащими нормы трудового права, коллективным договором, соглашениями, локальными нормативными актами и данным соглашением, своевременно и в полном размере выплачивать работнику заработную плату, а работник обязуется лично выполнять определенную этим соглашением трудовую функцию в интересах, под управлением и контролем работодателя, соблюдать правила внутреннего трудового распорядка, действующие у данного работодателя. При этом, обязательными (существенными) условиями трудового договора являются согласно статье 57 ТК РФ: место работы; условия оплаты труда (в том числе размер тарифной ставки или оклада (должностного оклада) работника, доплаты, надбавки и поощрительные выплаты); режим рабочего времени и времени отдыха (если для данного работника он отличается от общих правил, действующих у данного работодателя); гарантии и компенсации за работу с вредными и (или) опасными условиями труда, если работник принимается на работу в соответствующих условиях, с указанием характеристик условий труда на рабочем месте; условия, определяющие в необходимых случаях характер работы (подвижной, разъездной, в пути, другой характер работы); условия труда на рабочем месте; условие об обязательном социальном страховании работника в соответствии с ТК РФ и иными федеральными законами. Согласно статьям 15, 21 ТК РФ трудовые отношения это отношения, основанные на соглашении между работником и работодателем о личном выполнении работником за плату трудовой функции (работы по должности в соответствии со штатным расписанием, профессии, специальности с указанием квалификации; конкретного вида поручаемой работнику работы) в интересах, под управлением и контролем работодателя, подчинении работника правилам внутреннего трудового распорядка при обеспечении работодателем условий труда, предусмотренных трудовым законодательством и иными нормативными правовыми актами, содержащими нормы трудового права, коллективным договором, соглашениями, локальными нормативными актами, трудовым договором. Статьей 91 ТК РФ установлено, что в трудовых правоотношениях устанавливается рабочее время которое для работника должно быть определено в соответствии с правилами внутреннего трудового распорядка и условиями трудового договора с соблюдением установленной статьей 91 ТК РФ нормальной продолжительности рабочего времени. Согласно статье 100 ТК РФ при выполнении работником трудовых обязанностей в его отношении устанавливается режим рабочего времени, который должен быть предусмотрен правилами внутреннего трудового распорядка, локальными нормативными актами и трудовым договором. ";не признаются объектом обложения страховыми взносами выплаты и иные вознаграждения в рамках гражданско-правовых договоров, предметом которых является переход права собственности или иных вещных прав на имущество;в пользу налогоплательщика;УФНС России по Хабаровскому краю;НП к НО;"ООО ""Новоторг-ДВ""";ВНП;12564590;недоимка;доначисление
3;2703066055;А73-19134/2021;ШЕСТОЙ АРБИТРАЖНЫЙ АПЕЛЛЯЦИОННЫЙ СУД;объект налогообложения;"Таким образом, для квалификации соответствующих отношений в качестве трудовых или гражданско-правовых имеют значения существенные условия указанных договоров. В соответствии со статьей 56 Трудового кодекса РФ (далее ТК РФ) трудовой договор соглашение между работодателем и работником, в соответствии с которым работодатель обязуется предоставить работнику работу по обусловленной трудовой функции, обеспечить условия труда, предусмотренные трудовым законодательством и иными нормативными правовыми актами, содержащими нормы трудового права, коллективным договором, соглашениями, локальными нормативными актами и данным соглашением, своевременно и в полном размере выплачивать работнику заработную плату, а работник обязуется лично выполнять определенную этим соглашением трудовую функцию в интересах, под управлением и контролем работодателя, соблюдать правила внутреннего трудового распорядка, действующие у данного работодателя. При этом, обязательными (существенными) условиями трудового договора являются согласно статье 57 ТК РФ: место работы; условия оплаты труда (в том числе размер тарифной ставки или оклада (должностного оклада) работника, доплаты, надбавки и поощрительные выплаты); режим рабочего времени и времени отдыха (если для данного работника он отличается от общих правил, действующих у данного работодателя); гарантии и компенсации за работу с вредными и (или) опасными условиями труда, если работник принимается на работу в соответствующих условиях, с указанием характеристик условий труда на рабочем месте; условия, определяющие в необходимых случаях характер работы (подвижной, разъездной, в пути, другой характер работы); условия труда на рабочем месте; условие об обязательном социальном страховании работника в соответствии с ТК РФ и иными федеральными законами. Согласно статьям 15, 21 ТК РФ трудовые отношения это отношения, основанные на соглашении между работником и работодателем о личном выполнении работником за плату трудовой функции (работы по должности в соответствии со штатным расписанием, профессии, специальности с указанием квалификации; конкретного вида поручаемой работнику работы) в интересах, под управлением и контролем работодателя, подчинении работника правилам внутреннего трудового распорядка при обеспечении работодателем условий труда, предусмотренных трудовым законодательством и иными нормативными правовыми актами, содержащими нормы трудового права, коллективным договором, соглашениями, локальными нормативными актами, трудовым договором. ";не признаются объектом обложения страховыми взносами выплаты и иные вознаграждения в рамках гражданско-правовых договоров, предметом которых является переход права собственности или иных вещных прав на имущество;в пользу налогоплательщика;УФНС России по Хабаровскому краю;НП к НО;"ООО ""Новоторг-ДВ""";ВНП;12564590;недоимка;доначисление
4;2540234825;А51-3008/2021;ПЯТЫЙ АРБИТРАЖНЫЙ АПЕЛЛЯЦИОННЫЙ СУД;объект налогообложения;Кроме того, считает, что реорганизация ООО «Эмити» путем присоединения к ООО «Эмити Плюс» осуществлена исключительно с целью возмещения НДС. Общество отзыв не представило, отношение к жалобе не выразило. Исследовав материалы дела, проверив в порядке, предусмотренном статьями 266, 268, 270 Арбитражного процессуального кодекса Российской федерации, правильность применения арбитражным судом первой инстанции норм материального и процессуального права, суд апелляционной инстанции установил следующее. ООО «Эмити» в рамках соглашения от 12.07.2018 № СПВ-808/18 с АО «Корпорация развития Дальнего Востока» реализовывало инвестиционный проект «Создание Парка отдыха «Солнечный», общий объем инвестиций по инвестиционному проекту составляет 153527000 рублей, в т.ч. капитальных вложений 141527000 рублей с НДС. ;помимо факта наличия или отсутствия экономического источника для вычета (возмещения) НДС налогоплательщиком покупателем, к обстоятельствам, подлежащим установлению при оспаривании правомерности применения налоговых вычетов относится реальность приобретения товаров (работ, услуг) налогоплательщиком для осуществления своей облагаемой налогом деятельности, и то, преследовал ли налогоплательщик покупатель цель уклонения от налогообложения в результате согласованных с иными лицами действий, знал или должен был знать о допущенных этими лицами нарушениях;в пользу налогоплательщика;2500;НП к НО;"ООО ""Эмити Плюс""";КНП;-;вычеты;отказ в возврате/зачете
5;2540234825;А51-3008/2021;ПЯТЫЙ АРБИТРАЖНЫЙ АПЕЛЛЯЦИОННЫЙ СУД;объект налогообложения;Таким образом, по мнению налогового органа, организацияправопреемник ООО «Эмити Плюс», применяющее общий режим налогообложения, не вправе принять к вычету НДС в отношении товаров, работ, услуг, которые были приобретены организациейправопредшественником ООО «Эмити», применявшим УСН с объектом налогообложения «доходы», так как объект строительства использовался для извлечения выгоды в период применения упрощенной системы налогообложения. Кроме того, считает, что реорганизация ООО «Эмити» путем присоединения к ООО «Эмити Плюс» осуществлена исключительно с целью возмещения НДС. Общество отзыв не представило, отношение к жалобе не выразило. ;помимо факта наличия или отсутствия экономического источника для вычета (возмещения) НДС налогоплательщиком покупателем, к обстоятельствам, подлежащим установлению при оспаривании правомерности применения налоговых вычетов относится реальность приобретения товаров (работ, услуг) налогоплательщиком для осуществления своей облагаемой налогом деятельности, и то, преследовал ли налогоплательщик покупатель цель уклонения от налогообложения в результате согласованных с иными лицами действий, знал или должен был знать о допущенных этими лицами нарушениях;в пользу налогоплательщика;2500;НП к НО;"ООО ""Эмити Плюс""";КНП;-;вычеты;отказ в возврате/зачете
6;2540234825;А51-3008/2021;ПЯТЫЙ АРБИТРАЖНЫЙ АПЕЛЛЯЦИОННЫЙ СУД;объект налогообложения;В связи с изложенным, инспекция указывает, что согласно пункта 16 «Обзора практики рассмотрения судами дел, связанных с применением глав 26.2 и 26.5 Налогового кодекса Российской Федерации в отношении субъектов малого и среднего предпринимательства» (утв. Президиумом Верховного Суда РФ 04.07.2018) налогоплательщик не вправе принимать к вычету НДС, если оконченный строительством объект основных средств введен в эксплуатацию в период применения упрощенной системы налогообложения. Таким образом, по мнению налогового органа, организацияправопреемник ООО «Эмити Плюс», применяющее общий режим налогообложения, не вправе принять к вычету НДС в отношении товаров, работ, услуг, которые были приобретены организациейправопредшественником ООО «Эмити», применявшим УСН с объектом налогообложения «доходы», так как объект строительства использовался для извлечения выгоды в период применения упрощенной системы налогообложения. Кроме того, считает, что реорганизация ООО «Эмити» путем присоединения к ООО «Эмити Плюс» осуществлена исключительно с целью возмещения НДС. Общество отзыв не представило, отношение к жалобе не выразило. Исследовав материалы дела, проверив в порядке, предусмотренном статьями 266, 268, 270 Арбитражного процессуального кодекса Российской федерации, правильность применения арбитражным судом первой инстанции норм материального и процессуального права, суд апелляционной инстанции установил следующее. ;помимо факта наличия или отсутствия экономического источника для вычета (возмещения) НДС налогоплательщиком покупателем, к обстоятельствам, подлежащим установлению при оспаривании правомерности применения налоговых вычетов относится реальность приобретения товаров (работ, услуг) налогоплательщиком для осуществления своей облагаемой налогом деятельности, и то, преследовал ли налогоплательщик покупатель цель уклонения от налогообложения в результате согласованных с иными лицами действий, знал или должен был знать о допущенных этими лицами нарушениях;в пользу налогоплательщика;2500;НП к НО;"ООО ""Эмити Плюс""";КНП;-;вычеты;отказ в возврате/зачете
7;2540234825;А51-3008/2021;ПЯТЫЙ АРБИТРАЖНЫЙ АПЕЛЛЯЦИОННЫЙ СУД;объект налогообложения;Таким образом, по мнению налогового органа, организацияправопреемник ООО «Эмити Плюс», применяющее общий режим налогообложения, не вправе принять к вычету НДС в отношении товаров, работ, услуг, которые были приобретены организациейправопредшественником ООО «Эмити», применявшим УСН с объектом налогообложения «доходы», так как объект строительства использовался для извлечения выгоды в период применения упрощенной системы налогообложения. Кроме того, считает, что реорганизация ООО «Эмити» путем присоединения к ООО «Эмити Плюс» осуществлена исключительно с целью возмещения НДС. Общество отзыв не представило, отношение к жалобе не выразило. Исследовав материалы дела, проверив в порядке, предусмотренном статьями 266, 268, 270 Арбитражного процессуального кодекса Российской федерации, правильность применения арбитражным судом первой инстанции норм материального и процессуального права, суд апелляционной инстанции установил следующее. ;помимо факта наличия или отсутствия экономического источника для вычета (возмещения) НДС налогоплательщиком покупателем, к обстоятельствам, подлежащим установлению при оспаривании правомерности применения налоговых вычетов относится реальность приобретения товаров (работ, услуг) налогоплательщиком для осуществления своей облагаемой налогом деятельности, и то, преследовал ли налогоплательщик покупатель цель уклонения от налогообложения в результате согласованных с иными лицами действий, знал или должен был знать о допущенных этими лицами нарушениях;в пользу налогоплательщика;2500;НП к НО;"ООО ""Эмити Плюс""";КНП;-;вычеты;отказ в возврате/зачете
8;2540191402;А51-4575/2021;ПЯТЫЙ АРБИТРАЖНЫЙ АПЕЛЛЯЦИОННЫЙ СУД;объект налогообложения;"В соответствии с пунктом 1 статьи 23 НК РФ налогоплательщики обязаны уплачивать законно установленные налоги. В силу пункта 1 статьи 54.1 НК РФ не допускается уменьшение налогоплательщиком налоговой базы и (или) суммы подлежащего уплате налога в результате искажения сведений о фактах хозяйственной жизни (совокупности таких фактов), об объектах налогообложения, подлежащих отражению в налоговом и (или) бухгалтерском учете либо налоговой отчетности налогоплательщика. В соответствии с пунктом 2 статьи 54.1 НК РФ при отсутствии обстоятельств, предусмотренных пунктом 1 статьи 54.1 НК РФ, по имевшим место сделкам (операциям) налогоплательщик вправе уменьшить налоговую базу и (или) сумму подлежащего уплате налога в соответствии с правилами соответствующей главы части второй НК РФ при соблюдении одновременно следующих условий: 1) основной целью совершения сделки (операции) не являются неуплата (неполная уплата) и (или) зачет (возврат) суммы налога; 2) обязательство по сделке (операции) исполнено лицом, являющимся стороной договора, заключенного с налогоплательщиком, и (или) лицом, которому обязательство по исполнению сделки (операции) передано по договору или закону. Пунктом 3 статьи 54.1 НК РФ предусмотрено, что в целях пунктов 1 и 2 указанной статьи подписание первичных учетных документов неустановленным или неуполномоченным лицом, нарушение контрагентом налогоплательщика законодательства о налогах и сборах, наличие возможности получения налогоплательщиком того же результата экономической деятельности при совершении иных не запрещенных законодательством сделок (операций) не могут рассматриваться в качестве самостоятельного основания для признания уменьшения налогоплательщиком налоговой базы и (или) суммы подлежащего уплате налога неправомерным. ";подписание первичных документов неустановленным или неуполномоченным лицом, нарушение контрагентом налогоплательщика законодательства о налогах и сборах, наличие возможности получения налогоплательщиком того же результата экономической деятельности при совершении иных не запрещенных законодательством сделок (операций), не могут рассматриваться в качестве самостоятельного основания для признания уменьшения налогоплательщиком налоговой базы и (или) суммы подлежащего уплате налога неправомерным;в пользу налогоплательщика;2500;НП к НО;"ООО ""Приморский кондитер"" ";ВНП;62232247,31;недоимка;доначисление
9;2540191402;А51-4575/2021;ПЯТЫЙ АРБИТРАЖНЫЙ АПЕЛЛЯЦИОННЫЙ СУД;объект налогообложения;"В соответствии с пунктом 1 статьи 23 НК РФ налогоплательщики обязаны уплачивать законно установленные налоги. В силу пункта 1 статьи 54.1 НК РФ не допускается уменьшение налогоплательщиком налоговой базы и (или) суммы подлежащего уплате налога в результате искажения сведений о фактах хозяйственной жизни (совокупности таких фактов), об объектах налогообложения, подлежащих отражению в налоговом и (или) бухгалтерском учете либо налоговой отчетности налогоплательщика. В соответствии с пунктом 2 статьи 54.1 НК РФ при отсутствии обстоятельств, предусмотренных пунктом 1 статьи 54.1 НК РФ, по имевшим место сделкам (операциям) налогоплательщик вправе уменьшить налоговую базу и (или) сумму подлежащего уплате налога в соответствии с правилами соответствующей главы части второй НК РФ при соблюдении одновременно следующих условий: 1) основной целью совершения сделки (операции) не являются неуплата (неполная уплата) и (или) зачет (возврат) суммы налога; 2) обязательство по сделке (операции) исполнено лицом, являющимся стороной договора, заключенного с налогоплательщиком, и (или) лицом, которому обязательство по исполнению сделки (операции) передано по договору или закону. Пунктом 3 статьи 54.1 НК РФ предусмотрено, что в целях пунктов 1 и 2 указанной статьи подписание первичных учетных документов неустановленным или неуполномоченным лицом, нарушение контрагентом налогоплательщика законодательства о налогах и сборах, наличие возможности получения налогоплательщиком того же результата экономической деятельности при совершении иных не запрещенных законодательством сделок (операций) не могут рассматриваться в качестве самостоятельного основания для признания уменьшения налогоплательщиком налоговой базы и (или) суммы подлежащего уплате налога неправомерным. Таким образом положения статьи 54.1 НК РФ «Пределы осуществления прав по исчислению налоговой базы и (или) суммы налога, сбора, страховых взносов» не допускают уменьшение налогоплательщиком налоговой базы и (или) суммы подлежащего уплате налога в результате искажения сведений о фактах хозяйственной жизни (совокупности таких фактов), об объектах налогообложения, подлежащих отражению в налоговом и (или) бухгалтерском учете либо налоговой отчетности налогоплательщика. ";подписание первичных документов неустановленным или неуполномоченным лицом, нарушение контрагентом налогоплательщика законодательства о налогах и сборах, наличие возможности получения налогоплательщиком того же результата экономической деятельности при совершении иных не запрещенных законодательством сделок (операций), не могут рассматриваться в качестве самостоятельного основания для признания уменьшения налогоплательщиком налоговой базы и (или) суммы подлежащего уплате налога неправомерным;в пользу налогоплательщика;2500;НП к НО;"ООО ""Приморский кондитер"" ";ВНП;62232247,31;недоимка;доначисление
